SETresp,IdCiclo,SAP,IdCL,TipoBaja,Categoria,Componente,Motivo,FechaHora,PAD,Destino,ConCL
"3",,"12622242",,"REAC","Falla mayor (Equipo no operativo)","N/A","Se rompio cardan corto, se cortan bulones al ras","1/27/2022 7:46 PM","RDMN-28","Base Añelo","No"
"2",,"13038514",,"REAC","Falla mayor (Equipo no operativo)","Motor","se cae de caudal durante el bombeo. Se le cambiaron los filtros de aceite, persiste la falla. Baja presion de aceite.","1/27/2022 9:22 PM","FdP-1281","Base Añelo","No"
"3",,"11970682",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura piston 1","1/28/2022 12:06 AM","RDMN-28","Base Añelo","No"
"3",,"11970682",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura piston 1","1/28/2022 12:06 AM","RDMN-28","Base Añelo","No"
"3",,"11528720",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Problemas en transmision","1/28/2022 12:42 AM","RDMN-28","Base Añelo","No"
"3",,"11528720",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Problemas en transmision","1/28/2022 12:42 AM","RDMN-28","Base Añelo","No"
"3",,"12589528",,"REAC","Falla mayor (Equipo no operativo)","Radiador Vertical","rotura de cardan corto, se cortan al ras los tornillos","1/28/2022 12:55 AM","RDMN-28","Base Añelo","No"
"2",,"11970698",,"REAC","Falla mayor (Equipo no operativo)","Transmision","se comunica presion de la caja de transmision.","1/28/2022 5:40 PM","FdP-1281","Base Añelo","No"
"3",,"12002163",,"REAC","Falla menor (Equipo puede operar)","N/A","Piston 4 agarrado","1/28/2022 9:45 PM","RDMN-28","Base Añelo","No"
"3",,"12506558",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","PRENSA PISTON 3 AGARRADO","1/29/2022 3:40 AM","RDMN-28","Base Añelo","No"
"2",,"13057750",,"MOV","DTM sin falla","N/A","Error cambio de turno","1/16/2022 4:44 AM","FdP-1281","Base Añelo","No"
"2",,"11970888",,"MOV","DTM sin falla","N/A","Falla cambio de turno","1/21/2022 2:47 PM","FdP-1281","Base Añelo","No"
"2",,"13038523",,"REAC","Falla mayor (Equipo no operativo)","Motor","Pedida por IEM. Aceite en venteo","1/29/2022 7:12 AM","FdP-1281","Base Añelo","No"
"3",,"12608142",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Prensa agarrado Piston N°1","1/29/2022 8:00 AM","RDMN-28","Base Añelo","No"
"3",,"11326732",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisurada Piston 1","1/30/2022 12:40 AM","RDMN-28","Base Añelo","No"
"3",,"12468265",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Prensa agarrado piston 4 y abrazadera de piston 2","1/30/2022 5:47 AM","RDMN-28","Base Añelo","No"
